"category_name","category_description_name","category_description_url","category_description_extract1"
"Eritooted","Määre läätse ja karriga, NOA, 175 g","https://www.selver.ee/maare-laatse-ja-karriga-noa-175-g","2,69 €"
"Eritooted","Sügavkülmutatud pastinaagipüree kuubikud, BABYCOOL, 200 g","https://www.selver.ee/sugavkulmutatud-pastinaagipuree-kuubikud-babycool-200-g","4,99 €"
"Eritooted","Pitsapõhi 2x130g, MOILAS, 260 g","https://www.selver.ee/pitsapohi-2x130g-moilas-260-g","4,99 €"
"Eritooted","Tofu küüslauguga, BON, 250 g","https://www.selver.ee/tofu-kuuslauguga-bon-250-g","2,39 €"
"Eritooted","Mahe lihaveise lihalõiked, LIIVIMAA LIHAVEIS, 390 g","https://www.selver.ee/mahe-lihaveise-lihaloiked-liivimaa-lihaveis-390-g","6,59 €"
"Eritooted","Tursafilee, paneeritud, ROYAL GREENLAND, 360 g","https://www.selver.ee/tursafilee-loin-paneeritud-12tk-royal-greenland-360-g","5,79 €"
"Eritooted","Joogijogurt Harmoonia maasika-pohla laktoosivaba, GEFILUS, 1l","https://www.selver.ee/joogijogurt-harmoonia-maasika-pohla-laktoosivaba-gefilus-1l","1,49 €"
"Eritooted","Šokolaad metspähklitega vegan, VEGO, 150 g","https://www.selver.ee/sokolaad-metspahklitega-vegan-vego-150-g","3,99 €"
"Eritooted","Kooritud tomatid 400 g, ORGANIC FOOD, 240 g neto","https://www.selver.ee/kooritud-tomatid-400-g-organic-food-240-g-neto","1,49 €"
"Eritooted","Lest, paneeritud, 2tk, ROYAL GREENLAND, 230 g","https://www.selver.ee/lest-paneeritud-10tk-royal-greenland-230-g","5,19 €"
"Eritooted","Joogijogurt Energia apelsini-porgandi laktoosivaba, GEFILUS, 1l","https://www.selver.ee/joogijogurt-energia-apelsini-porgandi-laktoosivaba-gefilus-1l","1,49 €"
"Eritooted","Kikerherne-kapsa kotletid, MARTA KULINAARIA, 240 g","https://www.selver.ee/kikerherne-kapsa-kotletid-marta-kulinaaria-240-g","1,79 €"
"Eritooted","Hautatud oad tomatikastmes, ORGANIC FOOD, 400 g","https://www.selver.ee/hautatud-oad-tomatikastmes-organic-food-400-g","1,49 €"
"Eritooted","Juustulaastud Saare Old, SAAREMAA, 100 g","https://www.selver.ee/juustulaastud-saare-old-saaremaa-100-g","1,49 €"
"Eritooted","Kummikarud N60, 120 g, LIVOL MULTI","https://www.selver.ee/kummikarud-n60-120-g-livol-multi","12,99 €"
"Eritooted","Vegan majonees klaaspurgis, HELLMANN'S, 270 g","https://www.selver.ee/vegan-majonees-klaaspurgis-hellmann-s-270-g","3,19 €"
"Eritooted","Herbamare ürdipuljong soolaga, A.VOGEL, 250 g","https://www.selver.ee/herbamare-urdipuljong-soolaga-a-vogel-250-g","6,99 €"
"Eritooted","Glut.vaba pizzapõhja segu, BAUCKHOF, 350 g","https://www.selver.ee/glut-vaba-pizzapohja-segu-bauckhof-350-g","3,29 €"
"Eritooted","Kõvajuust Gold 36 kuud, DZIUGAS, 180 g","https://www.selver.ee/kovajuust-gold-36-kuud-dziugas-180-g","4,49 €"
"Eritooted","Kaera süda, MARTA KULINAARIA, 220 g","https://www.selver.ee/kaera-suda-marta-kulinaaria-220-g","2,19 €"
"Eritooted","Mahe Läätse idusalat (Beluga-ja Rohelise läätse idud), RÜÜTS, 140 g","https://www.selver.ee/oko-laatse-idusalat-beluga-ja-rohelise-laatse-idud-ruuts-125-g","1,99 €"
"Eritooted","Leivajahu kõrvitsaseemnetega gluteenivaba, RUF, 600g","https://www.selver.ee/leivajahu-korvitsaseemnetega-gluteenivaba-ruf-600g","5,49 €"
"Eritooted","Kõvajuust Piquant, DZIUGAS, 180 g","https://www.selver.ee/kovajuust-piquant-dziugas-180-g","3,49 €"
"Eritooted","Näopesugeel BIO sidrunheinaga, GARNIER, 150 ml","https://www.selver.ee/naopesugeel-bio-sidrunheinaga-garnier-150-ml","6,49 €"
"Eritooted","Mahe speltajahu (püül), JAHU-JAAN, 750 g","https://www.selver.ee/oko-speltajahu-puul-jahu-jaan-750-g","3,19 €"
"Eritooted","Kõvajuust, 40% , 24k, DZIUGAS, 180 g","https://www.selver.ee/kovajuust-40-24k-dziugas-180-g","3,99 €"
"Eritooted","Näotoonik BIO tüümianiga, GARNIER, 150 ml","https://www.selver.ee/naotoonik-bio-tuumianiga-garnier-150-ml","6,49 €"
"Eritooted","Mahe rukkijahu (täistera), JAHU-JAAN, 750 g","https://www.selver.ee/oko-rukkijahu-taistera-jahu-jaan-750-g","1,49 €"
"Eritooted","Määrdekreem mädarõikaga, CREME BONJOUR, 100 g","https://www.selver.ee/maardekreem-madaroikaga-creme-bonjour-100-g","1,29 €"
"Eritooted","Mitsellaarvesi BIO rukkililleveega, GARNIER, 400 ml","https://www.selver.ee/mitsellaarvesi-bio-rukkililleveega-garnier-400-ml","9,99 €"
"Eritooted","Mahe toortatrajahu, JAHU-JAAN, 750 g","https://www.selver.ee/oko-toortatrajahu-jahu-jaan-750-g","2,49 €"
"Eritooted","Näokreem niisutav BIO sidrunheinaga, GARNIER, 50 ml","https://www.selver.ee/naokreem-niisutav-bio-sidrunheinaga-garnier-50-ml","7,49 €"
"Eritooted","Mahe rukkilinnase jahu, JAHU-JAAN, 500 g","https://www.selver.ee/oko-rukkilinnase-jahu-jahu-jaan-500-g","2,29 €"
"Eritooted","HULGI Juust Atleet Originaal 2tk, VALIO, 2 x 500 g","https://www.selver.ee/juust-atleet-originaal-2tk","5,00 €"
"Eritooted","Näokreem niisutav BIO argaaniaõliga, GARNIER, 50 ml","https://www.selver.ee/naokreem-niisutav-bio-argaaniaoliga-garnier-50-ml","7,49 €"
"Eritooted","HULGI Kaerajook 8tk, ALPRO, 8 x 1 l","https://www.selver.ee/kaerajook-8tk","14,00 €"
"Eritooted","Sunnuntai gluteenivaba jahusegu, ELOVENA, 1 kg","https://www.selver.ee/sunnuntai-gluteenivaba-jahusegu-elovena-1-kg","6,99 €"
"Eritooted","Päevakreem BIO vananemisvastane lavandiiniga, GARNIER, 50 ml","https://www.selver.ee/paevakreem-bio-vananemisvastane-lavandiiniga-garnier-50-ml","9,99 €"
"Eritooted","Stracciatella piimapuder šokolaadiükkidega 8K, MILUPA, 250 g","https://www.selver.ee/piimapuder-stracciatella-milupa-250-g","3,59 €"
"Eritooted","Mahe speltahelbed, JAHU-JAAN, 500 g","https://www.selver.ee/oko-speltahelbed-jahu-jaan-500-g","1,69 €"
"Eritooted","Kombucha roheline tee sidruniga, CIVU, 400 ml","https://www.selver.ee/kombucha-roheline-tee-sidruniga-civu-400-ml-1","1,99 €"
"Eritooted","Psüllium, SALLISELTA, 100 g","https://www.selver.ee/psullium-salliselta-100-g","2,69 €"
"Eritooted","Mahe odrahelbed, JAHU-JAAN, 500 g","https://www.selver.ee/oko-odrahelbed-jahu-jaan-500-g","1,29 €"
"Eritooted","Mahe rukkihelbed, JAHU-JAAN, 500 g","https://www.selver.ee/oko-rukkihelbed-jahu-jaan-500-g","1,29 €"
"Eritooted","Kombucha kõrvik, CIVU, 400 ml","https://www.selver.ee/kombucha-korvik-civu-400-ml-1","1,99 €"
"Eritooted","Veiselihapüree BIO, HIPP, 125 g","https://www.selver.ee/veiselihapuree-bio-hipp-125-g","2,69 €"
"Eritooted","Mahe 4-vilja helbed (rukis, oder, spelta, kaer), JAHU-JAAN, 500 g","https://www.selver.ee/oko-4-vilja-helbed-rukis-oder-spelta-kaer-jahu-jaan-500-g","1,49 €"
"Eritooted","Kombucha kummelitee, CIVU, 400 ml","https://www.selver.ee/kombucha-kummelitee-civu-400-ml-1","1,99 €"
"Eritooted","Vahukoor 35%, TERE, 200 ml","https://www.selver.ee/vahukoor-35-tere-200-ml","0,85 €"
"Eritooted","Vegan majonees, SALVEST, 420 g","https://www.selver.ee/vegan-majonees-salvest-420-g","2,39 €"
"Eritooted","Maitsestamata jogurt laktoosivaba, TERE, 380 g","https://www.selver.ee/maitsestamata-jogurt-laktoosivaba-tere-380-g","1,19 €"
"Eritooted","Taimne viiner, BON, 250 g","https://www.selver.ee/taimne-viiner-bon-250-g","2,19 €"
"Eritooted","Suur Kodusai, FAZER, 500 g","https://www.selver.ee/suur-kodusai-fazer-500-g","0,79 €"
"Eritooted","Soja joogipulber, MYSOJA, 200 g","https://www.selver.ee/soja-joogipulber-mysoja-200-g","1,79 €"
"Eritooted","Must leib viilutatud, FAZER, 600 g","https://www.selver.ee/must-leib-viilutatud-fazer-600-g","0,99 €"
"Eritooted","Soja koorepulber, MYSOJA, 200 g","https://www.selver.ee/soja-koorepulber-mysoja-200-g","1,89 €"
"Eritooted","Must leib, FAZER, 300 g","https://www.selver.ee/must-leib-fazer-300-g","0,65 €"
"Eritooted","Tatragaletid, DR.NATURE, 110 g","https://www.selver.ee/tatragaletid-dr-nature-110-g","1,29 €"
"Eritooted","Must seemneleib, FAZER, 280 g","https://www.selver.ee/must-seemneleib-fazer-280-g","0,79 €"
"Eritooted","Must taskuleib seemnetega, FAZER, 270 g","https://www.selver.ee/must-taskuleib-seemnetega-fazer-270-g","0,89 €"
"Eritooted","Mahe Idutrio, LÕUNAIDU, 150 g","https://www.selver.ee/mahe-idutrio-150-g","1,99 €"
"Eritooted","Maitsestamata jogurt 2,5%, VALIO GEFILUS, 380 g","https://www.selver.ee/maitsestamata-jogurt-2-5-valio-gefilus-380-g","1,19 €"
"Eritooted","Kukkel 5x80g, MOILAS, 400 g","https://www.selver.ee/kukkel-5x80g-moilas-400-g","5,99 €"
"Eritooted","Mustikajogurt 2%, VALIO GEFILUS, 380 g","https://www.selver.ee/mustikajogurt-2-valio-gefilus-380-g","1,19 €"
"Eritooted","Hommikupüree mustika-pirni, ELLA'S KITCHEN, 100 g","https://www.selver.ee/hommikupuree-mustika-pirni-ella-s-kitchen-100-g","1,99 €"
"Eritooted","C-vitamiin 1000 mg bioflavonoidide ja kibuvitsaga N60, NUTRIDREAM, 79 g","https://www.selver.ee/c-vitamiin-1000-mg-bioflavonoidide-ja-kibuvitsaga-n60-nutridream-79-g","11,99 €"
"Eritooted","Jogurt virsik-papaia 2%, VALIO GEFILUS, 380 g","https://www.selver.ee/jogurt-virsik-papaia-2-valio-gefilus-380-g","1,19 €"
"Eritooted","Ühepajatoit, 750 g","https://www.selver.ee/uhepajatoit-750-g","2,99 €"
"Eritooted","Magneesium 200mg (tsitraat)+ Vitamiin B6-ga 60 tbl, NUTRIDREAM, 115 g","https://www.selver.ee/magneesium-200mg-tsitraat-vitamiin-b6-ga-60-tbl-nutridream-115-g","13,99 €"
